"","Run#1Pol#0","trial1#0","trial2#0","trial3#0"
"1",1,0,0,0
"2",1,0.040049,0,0
"3",1,0.422108,0,0
"4",1,0.884321,5e-06,0
"5",1,0.990862,0.040049,0
"6",1,0.803907,0.422108,0
"7",1,0.53613,0.884321,5e-06
"8",1,0.313507,0.990862,0.040049
"9",1,0.166842,0.803907,0.422108
"10",1,0.08272,0.53613,0.884321
"11",1,0.038811,0.313507,0.990862
"12",1,0.017423,0.166842,0.803907
"13",1,0.007543,0.08272,0.53613
"14",1,0.003169,0.038811,0.313507
"15",1,0,0.017423,0.166842
"16",1,0,0.007543,0.08272
"17",1,0,0.003169,0.038811
"18",1,0,0,0.017423
"19",1,0,0,0.007543
"20",1,0,0,0.003169
"21",1,0,0,0
"22",1,0,0,0
"23",1,0,0,0
"24",1,0,0,0
"25",1,0,0,0
"26",1,0,0,0
